author,nb_commentaires,total_likes,nb_reponses,score_influence
@NomonopolyGoogleisevil-c3k,2,0,0,2
@OneMillion-TV,2,0,0,2
@Moaaz_king.0_0,2,0,0,2
@MohamadRodzi-h1x,2,0,0,2
@sethzaki8729,2,0,0,2
@My_father_ok,2,0,0,2
@NabilKaali,2,0,0,2
@fenianbastard6672,2,0,0,2
@harrydestaffano565,2,0,0,2
@futsunoemuza,2,0,0,2
@fzackkh7102,2,0,0,2
@marTn3,2,0,0,2
@margrave-xvii,2,0,0,2
@marioarguello6989,2,0,0,2
@HungarianKnightNeverDies,2,0,0,2
@fhfh6074,2,0,0,2
@Jeangriha-69,2,0,0,2
@JesterJinx-j5q,2,0,0,2
@swordofallah5431,2,0,0,2
@taiwosamuel7442,2,0,0,2
@Leslie-t3e,2,0,0,2
@Liverpool-u2z,2,0,0,2
@Lychia00,2,0,0,2
@Matthew-z1f1s,2,0,0,2
@Maya-pd9uh,2,0,0,2
@MeowlMelonpiOwl,2,0,0,2
@LamriniFOX,2,0,0,2
@Lana.ba7473,2,0,0,2
@sjaddison5690,2,0,0,2
@spaceabdelabrevo5618,2,0,0,2
@SalahDAd,2,0,0,2
@SamiCassidy,2,0,0,2
@Shmooper_Dooper,2,0,0,2
@KohanKilletz,2,0,0,2
@Penelope-Poopinharder,2,0,0,2
@PunaSquirrel,2,0,0,2
@Saladin-x6u,2,0,0,2
@mohammadibnallah8062,2,0,0,2
@mohammedkombo4591,2,0,0,2
@mohssinbouzid9351,2,0,0,2
@erenkutluk,2,0,0,2
@bma1955alimarber,2,0,0,2
@boutialilo9275,2,0,0,2
@brahimelandaluz4044,2,0,0,2
@habibanas1499,2,0,0,2
@benimamsidahmed3816,2,0,0,2
@bkkittykat993,2,0,0,2
@iftekarahmed2045,2,0,0,2
@jeanfelixcyriaque5125,2,0,0,2
